iter	Passed	Remaining
0	146	146030
1	148	73927
2	150	49903
3	152	37867
4	154	30655
5	156	25877
6	157	22412
7	159	19815
8	161	17795
9	163	16184
10	165	14880
11	168	13842
12	170	12907
13	171	12107
14	173	11409
15	179	11044
16	181	10520
17	184	10046
18	189	9775
19	193	9500
20	196	9168
21	198	8823
22	200	8534
23	204	8333
24	208	8134
25	211	7917
26	213	7694
27	215	7482
28	217	7287
29	219	7111
30	221	6938
31	224	6781
32	227	6671
33	229	6531
34	232	6414
35	234	6291
36	236	6166
37	240	6097
38	242	5987
39	245	5881
40	246	5769
41	248	5669
42	250	5573
43	253	5517
44	255	5431
45	257	5349
46	259	5260
47	261	5192
48	266	5172
49	269	5114
50	270	5041
51	272	4968
52	274	4907
53	277	4855
54	278	4792
55	280	4735
56	282	4674
57	283	4611
58	285	4559
59	287	4508
60	289	4458
61	292	4428
62	294	4378
63	295	4327
64	297	4281
65	299	4240
66	301	4202
67	303	4154
68	304	4114
69	307	4090
70	309	4055
71	312	4027
72	315	4002
73	317	3971
74	321	3964
75	326	3968
76	328	3938
77	330	3906
78	333	3892
79	336	3875
80	339	3853
81	341	3823
82	344	3800
83	346	3782
84	348	3751
85	350	3727
86	352	3701
87	355	3686
88	361	3696
89	362	3668
90	365	3653
91	368	3634
92	370	3615
93	374	3611
94	379	3618
95	383	3608
96	385	3590
97	387	3570
98	389	3548
99	392	3530
100	396	3526
101	397	3498
102	399	3476
103	401	3456
104	403	3435
105	405	3417
106	407	3398
107	409	3381
108	411	3362
109	413	3344
110	415	3328
111	417	3313
112	419	3295
113	422	3285
114	424	3265
115	426	3249
116	428	3232
117	430	3217
118	431	3197
119	433	3179
120	435	3164
121	437	3149
122	438	3127
123	441	3115
124	442	3100
125	444	3082
126	446	3066
127	448	3054
128	451	3047
129	454	3044
130	456	3029
131	458	3013
132	459	2998
133	462	2989
134	465	2979
135	466	2966
136	468	2952
137	470	2936
138	472	2927
139	474	2914
140	477	2906
141	478	2892
142	480	2879
143	482	2867
144	484	2859
145	487	2849
146	489	2838
147	490	2824
148	492	2811
149	493	2798
150	496	2789
151	499	2787
152	501	2775
153	503	2767
154	505	2756
155	507	2747
156	509	2738
157	511	2726
158	513	2714
159	514	2701
160	516	2693
161	519	2684
162	521	2675
163	523	2668
164	525	2658
165	527	2651
166	530	2645
167	532	2638
168	535	2632
169	537	2623
170	539	2617
171	542	2609
172	545	2606
173	548	2605
174	551	2598
175	553	2593
176	556	2585
177	557	2576
178	559	2566
179	561	2557
180	562	2543
181	563	2534
182	566	2531
183	568	2522
184	570	2513
185	572	2504
186	573	2494
187	575	2485
188	577	2479
189	579	2471
190	581	2461
191	582	2451
192	583	2441
193	585	2432
194	587	2425
195	590	2420
196	591	2413
197	593	2403
198	594	2394
199	596	2386
200	598	2378
201	600	2373
202	612	2405
203	614	2399
204	617	2393
205	618	2384
206	619	2375
207	621	2366
208	622	2357
209	624	2348
210	626	2342
211	629	2338
212	630	2329
213	631	2320
214	633	2312
215	635	2304
216	636	2297
217	638	2290
218	640	2284
219	641	2276
220	643	2268
221	644	2260
222	646	2252
223	647	2244
224	650	2239
225	651	2232
226	653	2224
227	654	2216
228	656	2208
229	657	2202
230	660	2198
231	662	2191
232	663	2185
233	665	2178
234	666	2170
235	668	2163
236	669	2156
237	671	2150
238	673	2144
239	675	2138
240	676	2131
241	678	2124
242	679	2117
243	680	2109
244	682	2104
245	684	2098
246	686	2094
247	688	2087
248	689	2080
249	691	2074
250	692	2067
251	694	2061
252	696	2057
253	698	2051
254	699	2045
255	701	2038
256	702	2032
257	704	2025
258	706	2021
259	708	2015
260	710	2010
261	712	2006
262	713	2000
263	715	1994
264	716	1988
265	719	1984
266	721	1980
267	722	1973
268	723	1967
269	725	1961
270	726	1955
271	728	1950
272	730	1946
273	732	1941
274	734	1935
275	735	1929
276	736	1923
277	738	1917
278	740	1912
279	742	1909
280	744	1904
281	745	1899
282	747	1893
283	748	1887
284	750	1881
285	751	1875
286	753	1872
287	755	1867
288	756	1862
289	758	1856
290	759	1851
291	761	1845
292	762	1840
293	765	1837
294	767	1833
295	768	1827
296	769	1822
297	771	1817
298	772	1811
299	774	1806
300	776	1803
301	778	1800
302	780	1795
303	781	1790
304	822	1874
305	825	1872
306	827	1869
307	830	1865
308	832	1860
309	835	1860
310	837	1855
311	839	1850
312	841	1846
313	842	1841
314	844	1836
315	846	1832
316	848	1827
317	849	1822
318	852	1820
319	854	1816
320	860	1821
321	862	1817
322	864	1812
323	866	1808
324	869	1805
325	871	1802
326	873	1798
327	875	1793
328	877	1788
329	878	1783
330	880	1780
331	882	1776
332	885	1773
333	887	1769
334	888	1764
335	890	1759
336	892	1755
337	894	1751
338	896	1748
339	898	1743
340	899	1738
341	900	1733
342	902	1729
343	904	1725
344	906	1721
345	908	1717
346	910	1712
347	911	1707
348	913	1703
349	914	1699
350	916	1695
351	918	1690
352	919	1685
353	921	1681
354	922	1676
355	924	1671
356	925	1667
357	928	1664
358	930	1660
359	931	1655
360	932	1651
361	934	1646
