iter	Passed	Remaining
0	155	154845
1	156	78341
2	158	52752
3	160	39848
4	161	32087
5	162	26904
6	165	23424
7	166	20663
8	167	18493
9	169	16780
10	171	15402
11	173	14259
12	175	13286
13	176	12417
14	178	11704
15	180	11106
16	181	10519
17	183	10021
18	187	9701
19	189	9287
20	190	8897
21	192	8575
22	194	8273
23	196	7988
24	198	7750
25	200	7516
26	202	7283
27	203	7066
28	204	6861
29	206	6687
30	208	6530
31	210	6365
32	212	6212
33	213	6066
34	214	5925
35	216	5800
36	218	5685
37	220	5570
38	221	5466
39	223	5364
40	226	5291
41	227	5198
42	230	5121
43	231	5036
44	233	4956
45	237	4922
46	240	4879
47	242	4803
48	243	4734
49	245	4662
50	247	4597
51	248	4534
52	250	4470
53	251	4413
54	253	4353
55	254	4296
56	256	4238
57	257	4184
58	259	4143
59	261	4097
60	262	4045
61	264	3994
62	266	3959
63	267	3917
64	269	3872
65	270	3831
66	272	3792
67	274	3758
68	275	3721
69	277	3681
70	278	3642
71	280	3610
72	281	3576
73	283	3541
74	284	3506
75	285	3474
76	287	3450
77	289	3420
78	290	3388
79	291	3357
80	293	3328
81	295	3306
82	296	3273
83	297	3246
84	299	3222
85	302	3209
86	303	3186
87	305	3161
88	306	3135
89	307	3110
90	309	3091
91	310	3068
92	312	3046
93	313	3025
94	315	3003
95	316	2981
96	318	2961
97	319	2940
98	320	2920
99	322	2903
100	324	2884
101	325	2869
102	327	2853
103	329	2835
104	330	2820
105	332	2803
106	333	2786
107	335	2768
108	336	2751
109	337	2734
110	339	2719
111	341	2703
112	342	2688
113	343	2672
114	345	2660
115	347	2647
116	348	2630
117	349	2615
118	351	2599
119	352	2585
120	354	2573
121	355	2558
122	356	2544
123	358	2530
124	359	2519
125	361	2509
126	362	2494
127	364	2481
128	365	2468
129	367	2458
130	368	2447
131	370	2435
132	371	2422
133	373	2411
134	374	2402
135	376	2392
136	377	2379
137	379	2367
138	380	2356
139	382	2349
140	384	2339
141	384	2326
142	386	2317
143	388	2310
144	390	2302
145	391	2291
146	393	2280
147	394	2271
148	396	2267
149	398	2258
150	399	2248
151	401	2238
152	402	2230
153	404	2220
154	405	2211
155	407	2202
156	408	2193
157	410	2186
158	412	2179
159	413	2171
